Nome;Lat;Lon;Prov;Group
Acquarica del Capo;39,9122037;18,2462592;LE;Salento Profondo
Alessano;39,8896964;18,331895;LE;Salento Profondo
Alezio;40,0623518;18,059074;LE;Salento Ionico
Alliste;39,949698;18,0897053;LE;Salento Ionico
Andrano;39,9842222;18,3834629;LE;Salento Profondo
Aradeo;40,130886;18,1318289;LE;Salento Ionico
Arnesano;40,3381296;18,0917222;LE;Alto Salento
Bagnolo del Salento;40,1517407;18,3534444;LE;Salento Albanese
Botrugno;40,0658015;18,3253347;LE;Salento Albanese
Calimera;40,2514259;18,2787592;LE;Salento Griko
Campi Salentina;40,4001666;18,019074;LE;Alto Salento
Cannole;40,1673703;18,3668888;LE;Salento Albanese
Caprarica di Lecce;40,261009;18,245515;LE;Salento Griko
Carmiano;40,3459629;18,0439259;LE;Alto Salento
Carpignano Salentino;40,1979814;18,3392407;LE;Salento Griko
Casarano;40,01262;18,160586;LE;Salento Ionico
Castri di Lecce;40,274088;18,263864;LE;Salento Griko
Castrignano de' Greci;40,1745555;18,2973703;LE;Salento Griko
Castrignano del Capo;39,8334629;18,352037;LE;Salento Profondo
Castro;40,0081481;18,426574;LE;Salento Albanese
Cavallino;40,3136111;18,2012592;LE;Salento Griko
Collepasso;40,0725;18,1648518;LE;Salento Ionico
Copertino;40,2725;18,0573518;LE;Alto Salento
Corigliano d'Otranto;40,160468;18,256606;LE;Salento Griko
Corsano;39,8903333;18,3701666;LE;Salento Profondo
Cursi;40,1506296;18,3156296;LE;Salento Griko
Cutrofiano;40,1273464;18,202507;LE;Salento Ionico
Diso;40,0106481;18,3934629;LE;Salento Profondo
Gagliano del Capo;39,8453333;18,3703148;LE;Salento Profondo
Galatina;40,175;18,169074;LE;Salento Griko
Galatone;40,1439074;18,0712592;LE;Salento Ionico
Gallipoli;40,0562483;17,9788414;LE;Salento Ionico
Giuggianello;40,0954814;18,3698703;LE;Salento Albanese
Giurdignano;40,1225;18,4336111;LE;Salento Albanese
Guagnano;40,4023703;17,9498518;LE;Alto Salento
Lecce;40,3532912;18,1740146;LE;Alto Salento
Lequile;40,3068888;18,1411111;LE;Alto Salento
Leverano;40,2897372;18,0011765;LE;Alto Salento
Lizzanello;40,3051666;18,2234629;LE;Salento Griko
Maglie;40,1195555;18,2998703;LE;Salento Albanese
Martano;40,202699;18,3035469;LE;Salento Griko
Martignano;40,2384403;18,2561041;LE;Salento Griko
Matino;40,0332962;18,1326666;LE;Salento Ionico
Melendugno;40,2757962;18,3376666;LE;Salento Griko
Melissano;39,975;18,1223703;LE;Salento Ionico
Melpignano;40,1589074;18,2931481;LE;Salento Griko
Miggiano;39,9607962;18,3125185;LE;Salento Profondo
Minervino di Lecce;40,0895555;18,4212592;LE;Salento Albanese
Monteroni di Lecce;40,3256296;18,0979814;LE;Alto Salento
Montesano Salentino;39,9767407;18,3223703;LE;Salento Profondo
Morciano di Leuca;39,8489259;18,3132962;LE;Salento Profondo
Muro Leccese;40,1034629;18,3389074;LE;Salento Albanese
Nardò;40,1759298;18,0304227;LE;Salento Ionico
Neviano;40,1087592;18,1148518;LE;Salento Ionico
Nociglia;40,0403333;18,3268888;LE;Salento Albanese
Novoli;40,379537;18,05;LE;Alto Salento
Ortelle;40,0353333;18,3922037;LE;Salento Albanese
Otranto;40,1480291;18,4857544;LE;Salento Albanese
Palmariggi;40,1317407;18,3803333;LE;Salento Albanese
Parabita;40,048783;18,127696;LE;Salento Ionico
Patù;39,8423703;18,3398703;LE;Salento Profondo
Poggiardo;40,054964;18,377096;LE;Salento Albanese
Porto Cesareo;40,262422;17,8975459;LE;Alto Salento
Presicce;39,9001666;18,2625;LE;Salento Profondo
Racale;39,9642528;18,0947017;LE;Salento Ionico
Ruffano;39,9839074;18,2473703;LE;Salento Profondo
Salice Salentino;40,3881481;17,961574;LE;Alto Salento
Salve;39,8623518;18,2942407;LE;Salento Profondo
San Cassiano;40,05641;18,336543;LE;Salento Albanese
San Cesario di Lecce;40,3039074;18,1607962;LE;Salento Griko
San Donato di Lecce;40,2692407;18,185;LE;Salento Griko
San Pietro in Lama;40,3095555;18,1295555;LE;Alto Salento
Sanarica;40,0901666;18,349537;LE;Salento Albanese
Sannicola;40,0929883;18,0670508;LE;Salento Ionico
Santa Cesarea Terme;40,0373518;18,4576666;LE;Salento Albanese
Scorrano;40,0926666;18,3004814;LE;Salento Albanese
Seclì;40,1308647;18,1018295;LE;Salento Ionico
Sogliano Cavour;40,1498518;18,1961111;LE;Salento Ionico
Soleto;40,1895555;18,2072037;LE;Salento Griko
Specchia;39,9381296;18,2984444;LE;Salento Profondo
Spongano;40,017887;18,365099;LE;Salento Profondo
Squinzano;40,4387542;18,0390048;LE;Alto Salento
Sternatia;40,220453;18,225942;LE;Salento Griko
Supersano;40,018066;18,240889;LE;Salento Profondo
Surano;40,0293888;18,3459444;LE;Salento Albanese
Surbo;40,397037;18,1342222;LE;Alto Salento
Taurisano;39,9576644;18,2150113;LE;Salento Profondo
Taviano;39,984537;18,0876666;LE;Salento Ionico
Tiggiano;39,9068888;18,3653333;LE;Salento Profondo
Trepuzzi;40,4047136;18,0715755;LE;Alto Salento
Tricase;39,9314034;18,3562723;LE;Salento Profondo
Tuglie;40,0748518;18,0989074;LE;Salento Ionico
Ugento;39,9273518;18,1582962;LE;Salento Ionico
Uggiano la Chiesa;40,1028333;18,4501666;LE;Salento Albanese
Veglie;40,3362831;17,9661074;LE;Alto Salento
