Nome;Prov;Lon;Lat;Group
Aulla;MS;1579207;4894836,5;Apuania
Bagnone;MS;1581184;4908995,6;Apuania
Carrara;MS;1587616,2;4881593,8;Apuania
Casola in Lunigiana;MS;1594520,7;4895138,2;Apuania
Comano;MS;1590551,2;4906943,9;Apuania
Filattiera;MS;1575610,1;4913045,7;Apuania
Fivizzano;MS;1590470,7;4896125,8;Apuania
Fosdinovo;MS;1582143,7;4888368,6;Apuania
Licciana Nardi;MS;1583564,8;4903888,2;Apuania
Massa;MS;1593065,5;4878646,2;Apuania
Montignoso;MS;1593914,6;4873814,5;Apuania
Mulazzo;MS;1570507,9;4905688,7;Apuania
Podenzana;MS;1573375,5;4895480,3;Apuania
Pontremoli;MS;1569824,9;4917979;Apuania
Tresana;MS;1572143,9;4899596,1;Apuania
Villafranca in Lunigiana;MS;1577034,5;4904523,9;Apuania
Zeri;MS;1561846,8;4910585,3;Apuania
Altopascio;LU;1635383,3;4852986,2;Brigidini
Bagni di Lucca;LU;1631353,4;4877534,3;Brigidini
Barga;LU;1620722,5;4883811;Garfagnana
Borgo a Mozzano;LU;1621740,3;4870188,6;Brigidini
Camaiore;LU;1606075,4;4864740,5;Garfagnana
Camporgiano;LU;1606172,1;4889166,2;Garfagnana
Capannori;LU;1626827,3;4854793,8;Valdarno Pisano
Careggine;LU;1605742,7;4883481,3;Garfagnana
Castelnuovo di Garfagnana;LU;1611093,1;4884550,3;Garfagnana
Castiglione di Garfagnana;LU;1615886,9;4893295,5;Garfagnana
Coreglia Antelminelli;LU;1624322,6;4880708,8;Garfagnana
Forte dei Marmi;LU;1594198;4868608,4;Garfagnana
Fosciandora;LU;1618347,5;4886950;Garfagnana
Gallicano;LU;1615231,3;4878312,9;Garfagnana
Lucca;LU;1618434,2;4857894,6;Valdarno Pisano
Massarosa;LU;1606565,8;4858318,8;Valdarno Pisano
Minucciano;LU;1597992,6;4890868,6;Apuania
Molazzana;LU;1610411,9;4880481,7;Garfagnana
Montecarlo;LU;1633965,7;4856300,8;Brigidini
Pescaglia;LU;1614023,9;4868655,6;Garfagnana
Piazza al Serchio;LU;1603389,4;4894557,9;Apuania
Pietrasanta;LU;1597888,1;4868149,5;Garfagnana
Pieve Fosciana;LU;1616209,6;4889277,3;Garfagnana
Porcari;LU;1630053,7;4854146,4;Valdarno Pisano
San Romano in Garfagnana;LU;1607873,4;4893584,5;Garfagnana
Seravezza;LU;1598421;4874569,3;Garfagnana
Stazzema;LU;1604208,8;4874056,2;Garfagnana
Vagli Sotto;LU;1601999,2;4884706,5;Garfagnana
Viareggio;LU;1601892,7;4856516,2;Valdarno Pisano
Villa Basilica;LU;1631441,1;4867543;Brigidini
Villa Collemandina;LU;1611634,4;4894391,8;Garfagnana
Fabbriche di Vergemoli;LU;1612221,9;4875432,5;Garfagnana
Sillano Giuncugnano;LU;1604782,1;4899629,8;Apuania
Agliana;PT;1660748,4;4862240,5;ChinaTown
Buggiano;PT;1639105,4;4861281,7;Brigidini
Lamporecchio;PT;1652937,1;4853322;ChinaTown
Larciano;PT;1649511;4854324,5;Brigidini
Marliana;PT;1643844,2;4868600,5;Brigidini
Massa e Cozzile;PT;1640692,3;4862967,1;Brigidini
Monsummano Terme;PT;1647075,9;4857387,9;Brigidini
Montale;PT;1662491,5;4869500,4;ChinaTown
Montecatini-Terme;PT;1643131,7;4862134,2;Brigidini
Pescia;PT;1636334,9;4866701,2;Brigidini
Pieve a Nievole;PT;1644119,2;4858882,9;Brigidini
Pistoia;PT;1653677,1;4871098,1;ChinaTown
Ponte Buggianese;PT;1642000,8;4854255,5;Brigidini
Quarrata;PT;1658507,5;4857310,6;ChinaTown
Sambuca Pistoiese;PT;1659986,4;4881498,2;ChinaTown
Serravalle Pistoiese;PT;1650327,2;4861178,3;Brigidini
Uzzano;PT;1637314,2;4860922,7;Brigidini
Chiesina Uzzanese;PT;1638388,3;4855655,1;Brigidini
Abetone Cutigliano;PT;1636496;4887161,2;Brigidini
San Marcello Piteglio;PT;1643933,8;4879318,5;Brigidini
Bagno a Ripoli;FI;1688529,3;4844909,5;Appennino
Barberino di Mugello;FI;1679141,2;4876627,7;ChinaTown
Borgo San Lorenzo;FI;1692937,8;4870605,6;Appennino
Calenzano;FI;1676221,7;4863277,2;ChinaTown
Campi Bisenzio;FI;1671166,1;4854398,7;ChinaTown
Capraia e Limite;FI;1660704,4;4847025,7;Valdelsa
Castelfiorentino;FI;1658163,3;4831368,6;Valdelsa
Cerreto Guidi;FI;1649448,1;4846613,2;Valdelsa
Certaldo;FI;1668090,5;4825517,3;Valdelsa
Dicomano;FI;1704910,3;4865640,2;Appennino
Empoli;FI;1656743,4;4840231;Valdelsa
Fiesole;FI;1687299,3;4853743,9;Appennino
Firenze;FI;1680685,8;4849893,4;ChinaTown
Firenzuola;FI;1690046,8;4889728;Appennino
Fucecchio;FI;1643129,5;4847312;Brigidini
Gambassi Terme;FI;1657414,9;4820085,7;Valdelsa
Greve in Chianti;FI;1688159,4;4830574,6;Chianti&Friends
Impruneta;FI;1681054;4840707,3;Valdelsa
