Gruppo;Giornata;Casa;Tras;Gol Casa;Gol Tras
Gargano;1;Apricena;Cagnano Varano;0;0
Gargano;1;Carpino;Ischitella;3;1
Gargano;1;Isole Tremiti;Lesina;1;2
Gargano;1;Manfredonia;Mattinata;1;0
Gargano;1;Monte Sant'Angelo;Peschici;0;0
Gargano;1;Poggio Imperiale;Rignano Garganico;1;1
Gargano;1;Rodi Garganico;San Giovanni Rotondo;0;0
Gargano;1;San Marco in Lamis;San Nicandro Garganico;1;0
Gargano;1;San Severo;Vico del Gargano;0;0
Gargano;2;Lesina;San Severo;1;1
Gargano;2;Ischitella;Rodi Garganico;0;0
Gargano;2;San Giovanni Rotondo;Apricena;0;0
Gargano;2;San Nicandro Garganico;Isole Tremiti;0;1
Gargano;2;Rignano Garganico;Monte Sant'Angelo;1;1
Gargano;2;Mattinata;San Marco in Lamis;0;0
Gargano;2;Cagnano Varano;Poggio Imperiale;0;0
Gargano;2;Peschici;Vieste;4;1
Gargano;2;Vico del Gargano;Manfredonia;0;0
Gargano;3;San Severo;Rignano Garganico;0;1
Gargano;3;Carpino;Lesina;3;3
Gargano;3;Vieste;Mattinata;0;1
Gargano;3;San Marco in Lamis;Cagnano Varano;1;0
Gargano;3;Rodi Garganico;Peschici;0;2
Gargano;3;Poggio Imperiale;Ischitella;0;0
Gargano;3;Manfredonia;San Nicandro Garganico;2;0
Gargano;3;Isole Tremiti;San Giovanni Rotondo;0;2
Gargano;3;Apricena;Vico del Gargano;0;0
Gargano;4;San Nicandro Garganico;San Severo;1;1
Gargano;4;Ischitella;Isole Tremiti;1;2
Gargano;4;Lesina;Monte Sant'Angelo;2;1
Gargano;4;Rignano Garganico;Carpino;1;2
Gargano;4;Mattinata;Poggio Imperiale;0;0
Gargano;4;Peschici;Apricena;0;0
Gargano;4;Vico del Gargano;Vieste;0;0
Gargano;4;San Giovanni Rotondo;San Marco in Lamis;0;0
Gargano;4;Cagnano Varano;Manfredonia;0;0
Gargano;5;Poggio Imperiale;Vico del Gargano;1;0
Gargano;5;Manfredonia;Lesina;1;0
Gargano;5;San Severo;Monte Sant'Angelo;0;2
Gargano;5;San Giovanni Rotondo;Ischitella;2;1
Gargano;5;Apricena;Rignano Garganico;0;0
Gargano;5;Rodi Garganico;Mattinata;0;1
Gargano;5;Carpino;Peschici;1;2
Gargano;5;Vieste;San Nicandro Garganico;2;0
Gargano;5;Isole Tremiti;Cagnano Varano;1;1
Gargano;6;Ischitella;Mattinata;1;3
Gargano;6;Lesina;San Marco in Lamis;0;1
Gargano;6;Rignano Garganico;Vieste;1;1
Gargano;6;Monte Sant'Angelo;Carpino;0;0
Gargano;6;Cagnano Varano;San Giovanni Rotondo;0;1
Gargano;6;Peschici;Manfredonia;0;1
Gargano;6;Isole Tremiti;Poggio Imperiale;1;0
Gargano;6;Vico del Gargano;Rodi Garganico;0;1
Gargano;6;Apricena;San Severo;0;0
Gargano;7;Carpino;Isole Tremiti;0;1
Gargano;7;Vieste;Apricena;0;1
Gargano;7;San Marco in Lamis;Peschici;0;1
Gargano;7;Mattinata;Vico del Gargano;1;0
Gargano;7;Rodi Garganico;Lesina;1;1
Gargano;7;Poggio Imperiale;Monte Sant'Angelo;0;2
Gargano;7;Cagnano Varano;Ischitella;0;0
Gargano;7;Manfredonia;San Severo;2;1
Gargano;7;San Giovanni Rotondo;San Nicandro Garganico;1;0
Gargano;8;Carpino;Vieste;1;0
Gargano;8;San Severo;Poggio Imperiale;1;1
Gargano;8;Lesina;San Giovanni Rotondo;0;1
Gargano;8;San Nicandro Garganico;Mattinata;0;3
Gargano;8;Monte Sant'Angelo;Rodi Garganico;1;1
Gargano;8;Peschici;Cagnano Varano;2;0
Gargano;8;Manfredonia;Ischitella;1;1
Gargano;8;Isole Tremiti;Rignano Garganico;2;0
Gargano;8;Apricena;San Marco in Lamis;0;2
Gargano;9;Mattinata;Lesina;1;0
Gargano;9;Ischitella;Vico del Gargano;0;0
Gargano;9;Rodi Garganico;San Severo;1;1
Gargano;9;Poggio Imperiale;San Nicandro Garganico;1;1
Gargano;9;San Giovanni Rotondo;Manfredonia;1;0
Gargano;9;Cagnano Varano;Carpino;1;0
Gargano;9;Vieste;Isole Tremiti;1;0
Gargano;9;San Marco in Lamis;Monte Sant'Angelo;4;2
Gargano;9;Rignano Garganico;Peschici;0;1
Gargano;10;Carpino;Poggio Imperiale;2;0
Gargano;10;San Severo;Vieste;0;2
Gargano;10;Lesina;Rignano Garganico;2;0
Gargano;10;San Nicandro Garganico;Ischitella;0;0
Gargano;10;Mattinata;San Giovanni Rotondo;1;0
Gargano;10;Monte Sant'Angelo;Isole Tremiti;0;1
Gargano;10;Manfredonia;San Marco in Lamis;2;1
Gargano;10;Vico del Gargano;Cagnano Varano;0;0
Gargano;10;Apricena;Rodi Garganico;0;0
Gargano;11;Ischitella;Lesina;0;1
Gargano;11;San Marco in Lamis;Carpino;2;1
Gargano;11;Rignano Garganico;San Giovanni Rotondo;0;1
Gargano;11;Rodi Garganico;Vieste;1;1
Gargano;11;Poggio Imperiale;Manfredonia;1;4
Gargano;11;Monte Sant'Angelo;Apricena;0;0
Gargano;11;Cagnano Varano;San Nicandro Garganico;1;1
Gargano;11;Isole Tremiti;San Severo;0;0
Gargano;11;Vico del Gargano;Peschici;0;1
Gargano;12;Ischitella;San Marco in Lamis;1;3
Gargano;12;Vieste;Monte Sant'Angelo;1;0
Gargano;12;San Severo;Carpino;0;1
Gargano;12;Lesina;Poggio Imperiale;1;0
Gargano;12;San Nicandro Garganico;Peschici;1;3
Gargano;12;Mattinata;Cagnano Varano;0;0
