Gruppo;Giornata;Casa;Tras;Gol Casa;Gol Tras
Appennino;1;Dicomano;Palazzolo sul Senio;0;2
Appennino;1;Scarperia e San Piero;Londa;0;0
Appennino;1;Borgo San Lorenzo;Rufina;3;1
Appennino;1;Rignano sull'Arno;Reggello;2;0
Appennino;1;Marradi;Fiesole;4;0
Appennino;1;Firenzuola;Bagno a Ripoli;1;2
Appennino;1;Pratovecchio Stia;Castel San Niccolò;1;0
Appennino;1;San Godenzo;Montemignaio;3;1
Appennino;1;Pontassieve;Vicchio;2;1
Appennino;2;Rufina;Pontassieve;1;2
Appennino;2;Londa;Pratovecchio Stia;0;0
Appennino;2;Castel San Niccolò;Dicomano;1;0
Appennino;2;Montemignaio;Borgo San Lorenzo;1;5
Appennino;2;Bagno a Ripoli;Marradi;2;3
Appennino;2;Reggello;San Godenzo;1;2
Appennino;2;Palazzolo sul Senio;Firenzuola;2;1
Appennino;2;Fiesole;Pelago;0;0
Appennino;2;Vicchio;Rignano sull'Arno;0;3
Appennino;3;Pontassieve;Bagno a Ripoli;1;0
Appennino;3;Scarperia e San Piero;Rufina;2;3
Appennino;3;Pelago;Reggello;0;0
Appennino;3;San Godenzo;Palazzolo sul Senio;1;2
Appennino;3;Pratovecchio Stia;Fiesole;2;0
Appennino;3;Firenzuola;Londa;0;0
Appennino;3;Rignano sull'Arno;Montemignaio;3;1
Appennino;3;Borgo San Lorenzo;Castel San Niccolò;2;0
Appennino;3;Dicomano;Vicchio;3;0
Appennino;4;Montemignaio;Pontassieve;1;2
Appennino;4;Londa;Borgo San Lorenzo;0;2
Appennino;4;Rufina;Marradi;3;2
Appennino;4;Bagno a Ripoli;Scarperia e San Piero;4;1
Appennino;4;Reggello;Firenzuola;3;2
Appennino;4;Fiesole;Dicomano;1;1
Appennino;4;Vicchio;Pelago;0;2
Appennino;4;Castel San Niccolò;San Godenzo;0;2
Appennino;4;Palazzolo sul Senio;Rignano sull'Arno;1;1
Appennino;5;Firenzuola;Vicchio;3;1
Appennino;5;Rignano sull'Arno;Rufina;2;2
Appennino;5;Pontassieve;Marradi;0;3
Appennino;5;Castel San Niccolò;Londa;1;0
Appennino;5;Dicomano;Bagno a Ripoli;0;1
Appennino;5;Pratovecchio Stia;Reggello;0;1
Appennino;5;Scarperia e San Piero;Fiesole;1;0
Appennino;5;Pelago;Montemignaio;5;1
Appennino;5;Borgo San Lorenzo;Palazzolo sul Senio;2;2
Appennino;6;Londa;Reggello;2;0
Appennino;6;Rufina;San Godenzo;2;3
Appennino;6;Bagno a Ripoli;Pelago;1;1
Appennino;6;Marradi;Scarperia e San Piero;2;3
Appennino;6;Palazzolo sul Senio;Castel San Niccolò;0;0
Appennino;6;Fiesole;Rignano sull'Arno;1;0
Appennino;6;Borgo San Lorenzo;Firenzuola;2;1
Appennino;6;Vicchio;Pratovecchio Stia;1;3
Appennino;6;Dicomano;Pontassieve;0;2
Appennino;7;Scarperia e San Piero;Borgo San Lorenzo;1;3
Appennino;7;Pelago;Dicomano;0;0
Appennino;7;San Godenzo;Fiesole;3;0
Appennino;7;Reggello;Vicchio;2;1
Appennino;7;Pratovecchio Stia;Rufina;4;0
Appennino;7;Firenzuola;Marradi;1;1
Appennino;7;Palazzolo sul Senio;Londa;0;1
Appennino;7;Rignano sull'Arno;Pontassieve;2;0
Appennino;7;Castel San Niccolò;Montemignaio;3;1
Appennino;8;Scarperia e San Piero;Pelago;0;0
Appennino;8;Pontassieve;Firenzuola;3;1
Appennino;8;Rufina;Castel San Niccolò;4;4
Appennino;8;Montemignaio;Reggello;3;1
Appennino;8;Marradi;Pratovecchio Stia;0;1
Appennino;8;Fiesole;Palazzolo sul Senio;1;0
Appennino;8;Rignano sull'Arno;Londa;0;0
Appennino;8;Borgo San Lorenzo;Bagno a Ripoli;2;0
Appennino;8;Dicomano;San Godenzo;0;0
Appennino;9;Reggello;Rufina;4;0
Appennino;9;Londa;Vicchio;0;1
Appennino;9;Pratovecchio Stia;Pontassieve;2;1
Appennino;9;Firenzuola;Montemignaio;0;3
Appennino;9;Castel San Niccolò;Rignano sull'Arno;1;2
Appennino;9;Palazzolo sul Senio;Scarperia e San Piero;1;0
Appennino;9;Pelago;Borgo San Lorenzo;3;2
Appennino;9;San Godenzo;Marradi;4;3
Appennino;9;Bagno a Ripoli;Fiesole;2;0
Appennino;10;Scarperia e San Piero;Firenzuola;1;1
Appennino;10;Pontassieve;Pelago;0;3
Appennino;10;Rufina;Bagno a Ripoli;1;3
Appennino;10;Montemignaio;Londa;2;2
Appennino;10;Reggello;Castel San Niccolò;1;2
Appennino;10;Marradi;Borgo San Lorenzo;1;5
Appennino;10;Rignano sull'Arno;San Godenzo;1;4
Appennino;10;Vicchio;Palazzolo sul Senio;0;1
Appennino;10;Dicomano;Pratovecchio Stia;0;0
Appennino;11;Londa;Rufina;4;3
Appennino;11;San Godenzo;Scarperia e San Piero;3;1
Appennino;11;Bagno a Ripoli;Castel San Niccolò;1;0
Appennino;11;Pratovecchio Stia;Pelago;1;2
Appennino;11;Firenzuola;Rignano sull'Arno;1;4
Appennino;11;Marradi;Dicomano;2;0
Appennino;11;Palazzolo sul Senio;Montemignaio;0;5
Appennino;11;Borgo San Lorenzo;Pontassieve;1;0
Appennino;11;Vicchio;Fiesole;0;2
Appennino;12;Londa;San Godenzo;1;4
Appennino;12;Pelago;Marradi;1;1
Appennino;12;Pontassieve;Scarperia e San Piero;1;2
Appennino;12;Rufina;Firenzuola;0;2
Appennino;12;Montemignaio;Fiesole;0;1
Appennino;12;Reggello;Palazzolo sul Senio;2;1
Appennino;12;Pratovecchio Stia;Bagno a Ripoli;2;2
Appennino;12;Dicomano;Borgo San Lorenzo;1;1
Appennino;12;Castel San Niccolò;Vicchio;2;2
Appennino;13;Scarperia e San Piero;Dicomano;0;1
Appennino;13;Pontassieve;Castel San Niccolò;1;1
Appennino;13;Rufina;Pelago;2;1
Appennino;13;Bagno a Ripoli;Londa;1;1
Appennino;13;Firenzuola;Pratovecchio Stia;1;2
Appennino;13;Marradi;Montemignaio;0;1
Appennino;13;Fiesole;Reggello;1;1
Appennino;13;Borgo San Lorenzo;Rignano sull'Arno;3;0
Appennino;13;Vicchio;San Godenzo;0;2
Appennino;14;Pelago;Firenzuola;1;1
Appennino;14;San Godenzo;Bagno a Ripoli;5;2
Appennino;14;Montemignaio;Vicchio;0;1
Appennino;14;Reggello;Pontassieve;1;1
Appennino;14;Pratovecchio Stia;Borgo San Lorenzo;1;1
Appennino;14;Palazzolo sul Senio;Marradi;1;6
Appennino;14;Rignano sull'Arno;Scarperia e San Piero;1;2
Appennino;14;Dicomano;Rufina;2;2
Appennino;14;Castel San Niccolò;Fiesole;0;2
Appennino;15;Scarperia e San Piero;Pratovecchio Stia;2;0
Appennino;15;Fiesole;Londa;0;1
Appennino;15;Marradi;Reggello;0;1
Appennino;15;Firenzuola;Dicomano;1;1
Appennino;15;Bagno a Ripoli;Rignano sull'Arno;1;3
Appennino;15;Rufina;Montemignaio;1;1
Appennino;15;Pontassieve;San Godenzo;1;0
Appennino;15;Pelago;Palazzolo sul Senio;0;0
Appennino;15;Borgo San Lorenzo;Vicchio;3;1
Appennino;16;Londa;Dicomano;2;0
Appennino;16;San Godenzo;Firenzuola;4;0
Appennino;16;Montemignaio;Pratovecchio Stia;4;2
Appennino;16;Reggello;Bagno a Ripoli;6;3
Appennino;16;Palazzolo sul Senio;Pontassieve;2;1
Appennino;16;Fiesole;Borgo San Lorenzo;1;1
Appennino;16;Rignano sull'Arno;Marradi;4;1
Appennino;16;Vicchio;Scarperia e San Piero;0;4
Appennino;16;Castel San Niccolò;Pelago;0;0
Appennino;17;Scarperia e San Piero;Castel San Niccolò;1;2
Appennino;17;Pelago;San Godenzo;0;3
Appennino;17;Pontassieve;Fiesole;0;0
Appennino;17;Rufina;Vicchio;1;2
Appennino;17;Bagno a Ripoli;Montemignaio;2;0
Appennino;17;Pratovecchio Stia;Palazzolo sul Senio;2;0
Appennino;17;Marradi;Londa;1;0
Appennino;17;Borgo San Lorenzo;Reggello;1;1
Appennino;17;Dicomano;Rignano sull'Arno;2;1
Appennino;18;Londa;Pontassieve;2;1
Appennino;18;San Godenzo;Pratovecchio Stia;1;1
Appennino;18;Montemignaio;Scarperia e San Piero;2;2
Appennino;18;Reggello;Dicomano;3;0
Appennino;18;Palazzolo sul Senio;Bagno a Ripoli;3;0
Appennino;18;Fiesole;Rufina;2;1
Appennino;18;Rignano sull'Arno;Pelago;1;0
Appennino;18;Vicchio;Marradi;2;2
Appennino;18;Castel San Niccolò;Firenzuola;2;1
Appennino;19;Dicomano;Montemignaio;1;3
Appennino;19;Pelago;Londa;0;0
Appennino;19;Rufina;Palazzolo sul Senio;1;2
Appennino;19;Bagno a Ripoli;Vicchio;0;1
Appennino;19;Pratovecchio Stia;Rignano sull'Arno;1;4
Appennino;19;Firenzuola;Fiesole;1;3
Appennino;19;Marradi;Castel San Niccolò;1;0
Appennino;19;Borgo San Lorenzo;San Godenzo;3;2
Appennino;19;Scarperia e San Piero;Reggello;2;1
Appennino;20;Palazzolo sul Senio;Dicomano;0;1
Appennino;20;Londa;Scarperia e San Piero;1;1
Appennino;20;Rufina;Borgo San Lorenzo;0;5
Appennino;20;Reggello;Rignano sull'Arno;0;1
Appennino;20;Fiesole;Marradi;1;0
Appennino;20;Bagno a Ripoli;Firenzuola;2;3
Appennino;20;Castel San Niccolò;Pratovecchio Stia;1;2
Appennino;20;Montemignaio;San Godenzo;0;1
Appennino;20;Vicchio;Pontassieve;0;0
Appennino;21;Pontassieve;Rufina;2;0
Appennino;21;Pratovecchio Stia;Londa;1;1
Appennino;21;Dicomano;Castel San Niccolò;0;1
Appennino;21;Borgo San Lorenzo;Montemignaio;1;2
Appennino;21;Marradi;Bagno a Ripoli;3;0
Appennino;21;San Godenzo;Reggello;1;1
Appennino;21;Firenzuola;Palazzolo sul Senio;1;1
Appennino;21;Pelago;Fiesole;1;0
Appennino;21;Rignano sull'Arno;Vicchio;0;2
Appennino;22;Bagno a Ripoli;Pontassieve;2;1
Appennino;22;Rufina;Scarperia e San Piero;0;1
Appennino;22;Reggello;Pelago;1;1
Appennino;22;Palazzolo sul Senio;San Godenzo;0;2
Appennino;22;Fiesole;Pratovecchio Stia;2;1
Appennino;22;Londa;Firenzuola;1;0
Appennino;22;Montemignaio;Rignano sull'Arno;1;1
Appennino;22;Castel San Niccolò;Borgo San Lorenzo;1;3
Appennino;22;Vicchio;Dicomano;0;2
Appennino;23;Pontassieve;Montemignaio;0;3
Appennino;23;Borgo San Lorenzo;Londa;3;1
Appennino;23;Marradi;Rufina;4;0
Appennino;23;Scarperia e San Piero;Bagno a Ripoli;2;2
Appennino;23;Firenzuola;Reggello;0;1
Appennino;23;Dicomano;Fiesole;1;2
Appennino;23;Pelago;Vicchio;1;1
Appennino;23;San Godenzo;Castel San Niccolò;2;0
Appennino;23;Rignano sull'Arno;Palazzolo sul Senio;1;0
Appennino;24;Vicchio;Firenzuola;0;0
Appennino;24;Rufina;Rignano sull'Arno;0;2
Appennino;24;Marradi;Pontassieve;1;1
Appennino;24;Londa;Castel San Niccolò;2;0
Appennino;24;Bagno a Ripoli;Dicomano;2;2
Appennino;24;Reggello;Pratovecchio Stia;2;0
Appennino;24;Fiesole;Scarperia e San Piero;3;2
Appennino;24;Montemignaio;Pelago;0;4
Appennino;24;Palazzolo sul Senio;Borgo San Lorenzo;0;3
Appennino;25;Reggello;Londa;3;1
Appennino;25;San Godenzo;Rufina;0;1
Appennino;25;Pelago;Bagno a Ripoli;1;3
Appennino;25;Scarperia e San Piero;Marradi;1;1
Appennino;25;Castel San Niccolò;Palazzolo sul Senio;2;0
Appennino;25;Rignano sull'Arno;Fiesole;1;1
Appennino;25;Firenzuola;Borgo San Lorenzo;1;0
Appennino;25;Pratovecchio Stia;Vicchio;1;1
Appennino;25;Pontassieve;Dicomano;0;0
Appennino;26;Borgo San Lorenzo;Scarperia e San Piero;2;0
Appennino;26;Dicomano;Pelago;1;0
Appennino;26;Fiesole;San Godenzo;1;3
Appennino;26;Vicchio;Reggello;0;1
Appennino;26;Rufina;Pratovecchio Stia;2;3
Appennino;26;Marradi;Firenzuola;1;1
Appennino;26;Londa;Palazzolo sul Senio;1;0
Appennino;26;Pontassieve;Rignano sull'Arno;1;1
Appennino;26;Montemignaio;Castel San Niccolò;2;2
Appennino;27;Pelago;Scarperia e San Piero;0;0
Appennino;27;Firenzuola;Pontassieve;1;1
Appennino;27;Castel San Niccolò;Rufina;2;2
Appennino;27;Reggello;Montemignaio;1;2
Appennino;27;Pratovecchio Stia;Marradi;0;0
Appennino;27;Palazzolo sul Senio;Fiesole;0;1
Appennino;27;Londa;Rignano sull'Arno;1;0
Appennino;27;Bagno a Ripoli;Borgo San Lorenzo;3;3
Appennino;27;San Godenzo;Dicomano;2;0
Appennino;28;Rufina;Reggello;2;2
Appennino;28;Vicchio;Londa;1;1
Appennino;28;Pontassieve;Pratovecchio Stia;1;4
Appennino;28;Montemignaio;Firenzuola;4;0
Appennino;28;Rignano sull'Arno;Castel San Niccolò;2;1
Appennino;28;Scarperia e San Piero;Palazzolo sul Senio;2;1
Appennino;28;Borgo San Lorenzo;Pelago;2;2
Appennino;28;Marradi;San Godenzo;0;2
Appennino;28;Fiesole;Bagno a Ripoli;2;4
Appennino;29;Firenzuola;Scarperia e San Piero;1;1
Appennino;29;Pelago;Pontassieve;0;2
Appennino;29;Bagno a Ripoli;Rufina;3;0
Appennino;29;Londa;Montemignaio;3;1
Appennino;29;Castel San Niccolò;Reggello;0;4
Appennino;29;Borgo San Lorenzo;Marradi;3;2
Appennino;29;San Godenzo;Rignano sull'Arno;0;1
Appennino;29;Palazzolo sul Senio;Vicchio;3;1
Appennino;29;Pratovecchio Stia;Dicomano;2;1
Appennino;30;Rufina;Londa;2;2
Appennino;30;Scarperia e San Piero;San Godenzo;3;4
Appennino;30;Castel San Niccolò;Bagno a Ripoli;1;3
Appennino;30;Pelago;Pratovecchio Stia;2;1
Appennino;30;Rignano sull'Arno;Firenzuola;0;0
Appennino;30;Dicomano;Marradi;1;1
Appennino;30;Montemignaio;Palazzolo sul Senio;0;0
Appennino;30;Pontassieve;Borgo San Lorenzo;3;3
Appennino;30;Fiesole;Vicchio;1;1
Appennino;31;San Godenzo;Londa;1;0
